idDip,urlPerf,fullName,apellido,nombre,estado,bloque,provincia,afirmativos,negativos,abstenciones,ausencias,presidencias
G20,https://votaciones.hcdn.gob.ar/diputado/1204,"BELTRAN, Carlos Roberto",BELTRAN, Carlos Roberto,-,Justicialista,Chaco,12,2,-,-,-
A4610,https://votaciones.hcdn.gob.ar/diputado/475,"BENAS, Verónica Claudia",BENAS, Verónica Claudia,-,Unidad Popular,Santa Fe,220,79,42,25,-
A4774,https://votaciones.hcdn.gob.ar/diputado/112,"BENEDETTI, Atilio Francisco Salvador",BENEDETTI, Atilio Francisco Salvador,En actividad,Unión Cívica Radical,Entre Ríos,293,169,6,97,-
G70,https://votaciones.hcdn.gob.ar/diputado/1254,"BENEDETTI, Jorge Enrique",BENEDETTI, Jorge Enrique,-,Corriente de Pensamiento Federal,Capital Federal,38,44,5,111,-
G234,https://votaciones.hcdn.gob.ar/diputado/1418,"BENZI, María Cristina",BENZI, María Cristina,-,Justicialista,Santa Fe,105,29,1,29,-
G362,https://votaciones.hcdn.gob.ar/diputado/1549,"BERCOFF, María Graciela",BERCOFF, María Graciela,-,Unión Cívica Radical,Córdoba,1,3,-,3,-
A50808,https://votaciones.hcdn.gob.ar/diputado/191,"BERGMAN, Sergio Alejandro",BERGMAN, Sergio Alejandro,-,Unión PRO,C.A.B.A.,58,57,4,65,-
G137,https://votaciones.hcdn.gob.ar/diputado/1321,"BERHONGARAY, Antonio Tomás",BERHONGARAY, Antonio Tomás,-,Justicialista,Capital Federal,36,21,1,53,-
A51192,https://votaciones.hcdn.gob.ar/diputado/1771,"BERHONGARAY, Martin Antonio",BERHONGARAY, Martin Antonio,En actividad,Unión Cívica Radical,La Pampa,2,20,-,5,-
G138,https://votaciones.hcdn.gob.ar/diputado/1322,"BERICUA, Jorge",BERICUA, Jorge,-,Justicialista,Capital Federal,6,5,-,3,-
A51054,https://votaciones.hcdn.gob.ar/diputado/1632,"BERISSO, Hernán",BERISSO, Hernán,En actividad,PRO,Buenos Aires,135,84,4,17,-
